t,Y,A,A_rep,A_hid,L,Q,K,W,P,r,taua,abar,tauk,taul,WtaxRev,KtaxRev,WtaxRev_lost,KtaxRev_lost,G,lump_sum,ylbar,WtaxPct,ShelterPct,ShelterPctP99,TaxEvasionP99,ConcealPctP99,gini,p90,p99,p999,p9999,gini_total,p90_total,p99_total,p999_total,p9999_total,welfare,welfare0,approval,approval0,conceal_share_e,conceal_share_n,evasion_share_e,evasion_share_n,conceal_frac_e,conceal_frac_n,evasion_frac_e,evasion_frac_n,shelter_pct_e,shelter_pct_n,detection_rate,detection_revenue,wtax_evasion_elast
 0, 68.70875404,2.99793781,2.99793781,0.00000000,30.10276565,281.61833972,56.65823809,1.32381454,0.14967032,0.03609944,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75288192,0.00000000,0.00000000,9.18363957,0.00000000,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,-23.88709353,-46.86196153,0.00000000,0.00000000,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-nan
 1, 68.69789054,2.99841189,2.99841189,0.00000000,30.09434954,281.62883286,56.66138234,1.32399110,0.14964357,0.03608216,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75205778,0.00000000,0.00000000,9.18363957,-0.00001374,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,-23.84530973,-46.78737454,0.99066543,0.99696853,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-nan
 2, 68.68915367,2.99842300,2.99842300,0.00000000,30.08964544,281.61479342,56.64642158,1.32403020,0.14963131,0.03609398,0.02000000,367.96823485,0.25000000,0.18586853,0.70890292,6.75203055,0.00000000,0.00000000,9.18363957,0.00920784,1.01507976,0.05492427,0.00000000,0.00000000,0.00000000,0.00000000,0.77967827,0.33754261,0.63562372,0.79994272,0.91842645,0.77967827,0.33754261,0.63562372,0.79994272,0.91842645,-23.84682601,-46.78783908,0.99279706,0.99708477,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,inf
 3, 68.65583104,2.99956436,2.99956436,0.00000000,30.08619882,281.11564664,56.80177817,1.32353180,0.14979681,0.03581635,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75076755,0.00000000,0.00000000,9.18363957,-0.00020990,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77770382,0.33947133,0.63778195,0.80213114,0.91980840,0.77770382,0.33947133,0.63778195,0.80213114,0.91980840,-23.86203973,-46.85282183,0.08130883,0.01139155,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-inf
 4, 68.66616233,2.99862264,2.99862264,0.00000000,30.09038688,281.24145367,56.73450243,1.32354970,0.14975938,0.03593124,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75188048,0.00000000,0.00000000,9.18363957,-0.00017500,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77795269,0.33928822,0.63763773,0.80203626,0.91975858,0.77795269,0.33928822,0.63763773,0.80203626,0.91975858,-23.86827602,-46.85525026,0.07007027,0.01579061,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-inf
 5, 68.67271501,2.99807647,2.99807647,0.00000000,30.09244698,281.33049827,56.69190303,1.32358721,0.14973122,0.03600414,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75253044,0.00000000,0.00000000,9.18363957,-0.00014833,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77812105,0.33915261,0.63753007,0.80195859,0.91971397,0.77812105,0.33915261,0.63753007,0.80195859,0.91971397,-23.87113175,-46.85594665,0.06997566,0.03171709,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-inf
 6, 68.67718341,2.99773454,2.99773454,0.00000000,30.09374497,281.39046147,56.66447253,1.32361618,0.14971224,0.03605137,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75296097,0.00000000,0.00000000,9.18363957,-0.00012830,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77825325,0.33904636,0.63743979,0.80187687,0.91967336,0.77825325,0.33904636,0.63743979,0.80187687,0.91967336,-23.87310171,-46.85637111,0.08547246,0.04812187,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-inf
 7, 68.68055682,2.99750494,2.99750494,0.00000000,30.09464882,281.43518518,56.64597534,1.32364220,0.14969827,0.03608374,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75323363,0.00000000,0.00000000,9.18363957,-0.00011427,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77836541,0.33895549,0.63734405,0.80180390,0.91963373,0.77836541,0.33895549,0.63734405,0.80180390,0.91963373,-23.87465368,-46.85687338,0.10995576,0.06575255,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-inf
 8, 68.68267191,2.99737780,2.99737780,0.00000000,30.09494902,281.46781631,56.63383320,1.32367006,0.14968729,0.03610487,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75338626,0.00000000,0.00000000,9.18363957,-0.00010561,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77846126,0.33888019,0.63727326,0.80173387,0.91959540,0.77846126,0.33888019,0.63727326,0.80173387,0.91959540,-23.87590672,-46.85728803,0.14506275,0.07781620,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-inf
 9, 68.68486077,2.99726511,2.99726511,0.00000000,30.09563637,281.49129818,56.62575136,1.32368248,0.14968088,0.03611994,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75351704,0.00000000,0.00000000,9.18363957,-0.00009602,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77854424,0.33881341,0.63720290,0.80166639,0.91956419,0.77854424,0.33881341,0.63720290,0.80166639,0.91956419,-23.87694809,-46.85760488,0.17494738,0.09296088,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-inf
10, 68.68687649,2.99718260,2.99718260,0.00000000,30.09634996,281.50944228,56.62046689,1.32369029,0.14967663,0.03613052,0.02000000,367.96823485,0.25000000,0.18586853,0.00000000,6.75361345,0.00000000,0.00000000,9.18363957,-0.00008816,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77861740,0.33875240,0.63712518,0.80160702,0.91952128,0.77861740,0.33875240,0.63712518,0.80160702,0.91952128,-23.87782347,-46.85785271,0.19941625,0.10055215,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-inf
