t,Y,A,A_rep,A_hid,L,Q,K,W,P,r,taua,abar,tauk,taul,WtaxRev,KtaxRev,WtaxRev_lost,KtaxRev_lost,G,lump_sum,ylbar,WtaxPct,ShelterPct,ShelterPctP99,TaxEvasionP99,ConcealPctP99,gini,p90,p99,p999,p9999,gini_total,p90_total,p99_total,p999_total,p9999_total,welfare,welfare0,approval,approval0,conceal_share_e,conceal_share_n,evasion_share_e,evasion_share_n,conceal_frac_e,conceal_frac_n,evasion_frac_e,evasion_frac_n,shelter_pct_e,shelter_pct_n,detection_rate,detection_revenue,wtax_evasion_elast
 0, 73.75027952,3.12301613,3.00462440,0.11839173,30.15533636,333.66237040,65.76788613,1.41843557,0.13790925,0.02961390,0.02105300,0.00000000,0.25000000,0.18585918,0.00000000,5.97225881,0.00000000,0.53566605,9.29156816,0.00000000,1.08952447,0.00000000,0.09973883,30.78440975,7.67098879,33.64388173,0.77732954,0.34203793,0.64029141,0.80055179,0.91648046,0.78573419,0.32907147,0.61606267,0.77452644,0.90255333,-23.72530022,-47.57814777,0.00000000,0.00000000,0.31202435,0.68797565,0.91887093,0.08112907,0.03625730,0.03870940,0.05882632,0.00304520,0.38376144,0.03116382,0.68049595,0.03703996,-nan
 1, 72.18160095,3.19088673,3.06992207,0.12096467,29.05814104,333.68194742,65.76900937,1.44071625,0.13497210,0.02792109,0.02105300,0.00000000,0.25000000,0.18585918,6.46310693,4.96709707,0.25466691,1.45903951,9.29156816,0.07467905,1.08952447,93.69689478,0.09973883,30.54264582,24.07462014,33.64388173,0.77732954,0.34203793,0.64029141,0.80055179,0.91648046,0.78573419,0.32907147,0.61606267,0.77452644,0.90255333,-22.28732337,-45.92572442,0.65275354,0.58564527,0.31202435,0.68797565,0.74923631,0.25076369,0.03625730,0.03870940,0.12086686,0.02247792,0.38376144,0.03116382,0.68049595,0.04336317,-0.00000000
 2, 71.46867356,3.15104754,2.82509408,0.32595347,29.06422661,325.33374035,64.66384399,1.42619022,0.13672162,0.02847020,0.02105300,0.00000000,0.25000000,0.18585918,5.94767056,5.33578138,0.68622984,0.98832653,9.29156816,0.07212203,1.08952447,94.03433706,0.25433518,85.10965900,9.87521264,36.23248197,0.76102827,0.36679319,0.68935685,0.83527020,0.92268465,0.78557880,0.32885105,0.61809002,0.77540782,0.90242619,-22.53133371,-46.41329617,0.58888160,0.54273934,0.25058004,0.74941996,0.60984225,0.39015775,0.07878662,0.11553213,0.09616308,0.03452685,0.67114884,0.15369883,0.85633037,0.29443603,4.43185565
 3, 70.88471614,3.11860786,2.69182036,0.42678750,29.08754503,318.24186469,63.77896062,1.41340216,0.13832109,0.02890880,0.02105300,0.00000000,0.25000000,0.18585918,5.66708941,5.40373581,0.89851572,0.88691002,9.29156816,0.06437755,1.08952447,96.60576175,0.25914089,85.00400754,11.58418956,44.47428096,0.75239147,0.37940680,0.71612216,0.86094684,0.92781927,0.78606631,0.32748425,0.61816659,0.77609394,0.90261321,-22.76966732,-46.88676513,0.50611384,0.24502569,0.25008080,0.74991920,0.57213484,0.42786516,0.10358240,0.15326837,0.09615991,0.04063825,0.65957381,0.16245954,0.51239501,0.18276622,7.06168830
 4, 70.43195080,3.08692106,2.60901075,0.47791032,29.13109775,312.51063167,62.94642200,1.40227518,0.13970402,0.02944179,0.02105300,0.00000000,0.25000000,0.18585918,5.49275033,5.46023288,1.00614459,0.82653580,9.29156816,0.05976440,1.08952447,94.50910481,0.27156139,90.33733072,11.16132126,49.10101389,0.74931420,0.38514395,0.72909190,0.87332363,0.93192333,0.78788816,0.32551681,0.61627553,0.77506267,0.90231599,-22.99888154,-47.32688108,0.47926999,0.20069491,0.26159865,0.73840135,0.55482335,0.44517665,0.12211586,0.17104546,0.09575139,0.04360973,0.68451374,0.17185732,0.42629548,0.15780265,8.82690088
 5, 70.03080855,3.05633126,2.54244090,0.51389036,29.17302139,307.64535845,62.00889141,1.39229010,0.14088449,0.03018394,0.02105300,0.00000000,0.25000000,0.18585918,5.35260082,5.51840462,1.08189338,0.77056865,9.29156816,0.05602292,1.08952447,93.77110231,0.27568168,91.68320295,11.37190425,52.06493334,0.74791076,0.38862840,0.73791620,0.88261410,0.93421760,0.79004538,0.32328457,0.61391148,0.77360251,0.90190531,-23.21903886,-47.74430044,0.46133943,0.19425094,0.26757455,0.73242545,0.53791068,0.46208932,0.13517361,0.18458534,0.09394120,0.04593252,0.67230186,0.17992088,0.39022995,0.13830366,10.30711527
 6, 69.67971598,3.02672553,2.48346736,0.54325817,29.22072026,303.34936673,61.08432981,1.38304748,0.14196346,0.03098945,0.02105300,0.00000000,0.25000000,0.18585918,5.22844383,5.50125667,1.14372143,0.79182857,9.29156816,0.05185815,1.08952447,93.86896143,0.29015879,91.67289839,11.73263852,54.53129940,0.74726760,0.39101570,0.74496642,0.88942704,0.93599697,0.79235977,0.32083343,0.61133295,0.77202818,0.90137981,-23.43072641,-48.14200836,0.44787867,0.18915299,0.27128114,0.72871886,0.54045888,0.45954112,0.14580194,0.19637692,0.09876337,0.04789820,0.71090004,0.18857415,0.34224674,0.12748927,11.64401469
 7, 69.34036961,2.99973510,2.42837144,0.57136365,29.26168537,299.24082195,60.28483107,1.37438554,0.14301658,0.03166387,0.02105300,0.00000000,0.25000000,0.18585918,5.11245040,5.53744227,1.20289190,0.75770782,9.29156816,0.04881149,1.08952447,93.14223697,0.29875508,91.75758170,11.98893558,56.84651191,0.74702806,0.39281252,0.75141715,0.89468061,0.93743845,0.79492339,0.31799298,0.60837665,0.77034353,0.90082665,-23.63309376,-48.51714179,0.43651034,0.18392971,0.27778518,0.72221482,0.53146773,0.46853227,0.15787548,0.20690206,0.09847455,0.04964088,0.72269426,0.19639833,0.33782560,0.12979213,12.92919933
 8, 69.03910729,2.97375823,2.37991738,0.59384084,29.30465147,295.62523584,59.47588949,1.36641267,0.14396215,0.03241526,0.02105300,0.00000000,0.25000000,0.18585918,5.01044007,5.53850555,1.25021313,0.76014716,9.29156816,0.04557074,1.08952447,93.06587228,0.30615844,92.61106413,12.40200063,58.63237015,0.74739632,0.39367978,0.75630328,0.89818564,0.93861604,0.79753377,0.31506440,0.60536032,0.76867839,0.90026194,-23.82686855,-48.87345759,0.42520123,0.18039157,0.28226760,0.71773240,0.53068121,0.46931879,0.16763058,0.21593719,0.10095794,0.05114766,0.72959939,0.20392198,0.31315297,0.12418717,14.08031909
 9, 68.76123393,2.94927742,2.33675903,0.61251840,29.34530774,292.32688615,58.70641197,1.35902397,0.14483746,0.03315916,0.02105300,0.00000000,0.25000000,0.18585918,4.91957878,5.57919430,1.28953498,0.72330870,9.29156816,0.04328508,1.08952447,92.43699289,0.31403610,92.87484243,12.84136100,60.10280699,0.74827265,0.39373785,0.75985853,0.90067336,0.93948876,0.80023005,0.31196471,0.60213433,0.76693032,0.89967858,-24.01144220,-49.20958853,0.41428607,0.17237466,0.28677408,0.71322592,0.52094831,0.47905169,0.17655204,0.22353283,0.09936552,0.05242157,0.73872042,0.21149943,0.30461036,0.12704115,15.13174794
