t,Y,A,A_rep,A_hid,L,Q,K,W,P,r,taua,abar,tauk,taul,WtaxRev,KtaxRev,WtaxRev_lost,KtaxRev_lost,G,lump_sum,ylbar,WtaxPct,ShelterPct,ShelterPctP99,TaxEvasionP99,ConcealPctP99,gini,p90,p99,p999,p9999,gini_total,p90_total,p99_total,p999_total,p9999_total,welfare,welfare0,approval,approval0,conceal_share_e,conceal_share_n,evasion_share_e,evasion_share_n,conceal_frac_e,conceal_frac_n,evasion_frac_e,evasion_frac_n,shelter_pct_e,shelter_pct_n,detection_rate,detection_revenue,wtax_evasion_elast
 0, 68.70875404,2.99793781,2.99793781,0.00000000,30.10276565,281.61833972,56.65823809,1.32381454,0.14967032,0.03609944,0.02105300,0.00000000,0.25000000,0.18657168,0.00000000,6.75288192,0.00000000,0.00000000,9.18363957,0.00000000,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,-23.88709353,-46.86196153,0.00000000,0.00000000,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-nan
 1, 66.86806077,3.08046277,3.08046277,0.00000000,28.72594173,281.61380766,56.65738809,1.35009264,0.14566206,0.03379369,0.02105300,0.00000000,0.25000000,0.18657168,6.48529827,6.64990543,0.00000000,0.00000000,9.18363957,0.08043224,1.01507976,93.87455431,0.00000000,0.00000000,0.00000000,0.00000000,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,-20.97608426,-42.11143921,0.77368101,0.83019799,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-0.00000000
 2, 66.41204155,3.03948634,3.03948634,0.00000000,28.77762821,276.72199290,55.26307355,1.33847826,0.14696848,0.03532206,0.02105300,0.00000000,0.25000000,0.18657168,6.39903059,6.70112173,0.00000000,0.00000000,9.18363957,0.07704296,1.01507976,93.47238127,0.00000000,0.00000000,0.00000000,0.00000000,0.78125055,0.33518770,0.63473622,0.79934913,0.91818484,0.78125055,0.33518770,0.63473622,0.79934913,0.91818484,-21.19524881,-42.53570959,0.76106202,0.74714940,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,0.95096171
 3, 65.98085906,3.00119194,3.00119194,0.00000000,28.82563517,272.13760303,53.99377348,1.32757407,0.14822626,0.03676090,0.02105300,0.00000000,0.25000000,0.18657168,6.31840939,6.74897266,0.00000000,0.00000000,9.18363957,0.07385303,1.01507976,93.27482214,0.00000000,0.00000000,0.00000000,0.00000000,0.78295501,0.33358741,0.63377672,0.79866547,0.91791969,0.78295501,0.33358741,0.63377672,0.79866547,0.91791969,-21.40625878,-42.94318649,0.75405743,0.69629552,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,1.85296928
 4, 65.57395196,2.96538610,2.96538610,0.00000000,28.86999068,267.87130822,52.81988728,1.31736317,0.14942244,0.03814239,0.02105300,0.00000000,0.25000000,0.18657168,6.24302736,6.79367049,0.00000000,0.00000000,9.18363957,0.07086643,1.01507976,93.21899371,0.00000000,0.00000000,0.00000000,0.00000000,0.78463653,0.33219639,0.63281281,0.79802251,0.91768544,0.78463653,0.33219639,0.63281281,0.79802251,0.91768544,-21.60910577,-43.33412653,0.74744546,0.69129212,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,2.70777767
 5, 65.18965297,2.93183357,2.93183357,0.00000000,28.91093957,263.89691312,51.72827248,1.30778810,0.15055873,0.03947500,0.02105300,0.00000000,0.25000000,0.18657168,6.17238921,6.83560022,0.00000000,0.00000000,9.18363957,0.06804836,1.01507976,93.16642286,0.00000000,0.00000000,0.00000000,0.00000000,0.78630812,0.33082937,0.63182814,0.79747779,0.91744091,0.78630812,0.33082937,0.63182814,0.79747779,0.91744091,-21.80400389,-43.70911971,0.74106667,0.68491396,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,3.51881219
 6, 64.82825694,2.90038142,2.90038142,0.00000000,28.94930616,260.20385736,50.71254674,1.29881669,0.15163552,0.04076131,0.02105300,0.00000000,0.25000000,0.18657168,6.10617300,6.87488597,0.00000000,0.00000000,9.18363957,0.06540706,1.01507976,93.07792417,0.00000000,0.00000000,0.00000000,0.00000000,0.78796576,0.32927533,0.63086682,0.79691145,0.91716714,0.78796576,0.32927533,0.63086682,0.79691145,0.91716714,-21.99078717,-44.06779234,0.73434542,0.68354787,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,4.28698245
 7, 64.48730991,2.87092766,2.87092766,0.00000000,28.98461475,256.74035811,49.79110322,1.29041396,0.15266840,0.04195493,0.02105300,0.00000000,0.25000000,0.18657168,6.04416401,6.91166358,0.00000000,0.00000000,9.18363957,0.06292479,1.01507976,92.88885044,0.00000000,0.00000000,0.00000000,0.00000000,0.78959795,0.32778409,0.62987203,0.79635560,0.91691009,0.78959795,0.32778409,0.62987203,0.79635560,0.91691009,-22.16953837,-44.41013767,0.72755431,0.66932130,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,5.01450967
 8, 64.16957402,2.84316477,2.84316477,0.00000000,29.01958518,253.52632204,48.92805037,1.28250932,0.15364849,0.04311593,0.02105300,0.00000000,0.25000000,0.18657168,5.98571479,6.94635199,0.00000000,0.00000000,9.18363957,0.06060869,1.01507976,92.64480310,0.00000000,0.00000000,0.00000000,0.00000000,0.79121157,0.32644951,0.62891068,0.79577579,0.91665207,0.79121157,0.32644951,0.62891068,0.79577579,0.91665207,-22.34038230,-44.73651599,0.71720556,0.66672693,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,5.70333651
 9, 63.87255708,2.81711735,2.81711735,0.00000000,29.05280352,250.54523013,48.12587826,1.27511490,0.15457426,0.04422994,0.02105300,0.00000000,0.25000000,0.18657168,5.93087716,6.97889247,0.00000000,0.00000000,9.18363957,0.05843878,1.01507976,92.49258134,0.00000000,0.00000000,0.00000000,0.00000000,0.79280102,0.32488078,0.62793917,0.79520560,0.91645038,0.79280102,0.32488078,0.62793917,0.79520560,0.91645038,-22.50337904,-45.04708034,0.70579075,0.64980629,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,6.35392207
10, 63.59513033,2.79272480,2.79272480,0.00000000,29.08416868,247.77370886,47.38910612,1.26820887,0.15545156,0.04527943,0.02105300,0.00000000,0.25000000,0.18657168,5.87952352,7.00935316,0.00000000,0.00000000,9.18363957,0.05641114,1.01507976,92.28776816,0.00000000,0.00000000,0.00000000,0.00000000,0.79435473,0.32321591,0.62695073,0.79463704,0.91625355,0.79435473,0.32321591,0.62695073,0.79463704,0.91625355,-22.65858044,-45.34200917,0.68949443,0.64044596,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,6.96720509
11, 63.33640244,2.76987868,2.76987868,0.00000000,29.11378310,245.21610314,46.69781013,1.26176739,0.15627203,0.04629677,0.02105300,0.00000000,0.25000000,0.18657168,5.83142559,7.03786521,0.00000000,0.00000000,9.18363957,0.05452394,1.01507976,92.08733756,0.00000000,0.00000000,0.00000000,0.00000000,0.79586889,0.32150910,0.62596701,0.79407300,0.91604722,0.79586889,0.32150910,0.62596701,0.79407300,0.91604722,-22.80611927,-45.62155001,0.65549488,0.61156654,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,7.54484477
12, 63.09460006,2.74848813,2.74848813,0.00000000,29.14153763,242.84900351,46.05133576,1.25575632,0.15704083,0.04727605,0.02105300,0.00000000,0.25000000,0.18657168,5.78639207,7.06454277,0.00000000,0.00000000,9.18363957,0.05276139,1.01507976,91.90688541,0.00000000,0.00000000,0.00000000,0.00000000,0.79734664,0.32019015,0.62501337,0.79350792,0.91583380,0.79734664,0.32019015,0.62501337,0.79350792,0.91583380,-22.94620670,-45.88619790,0.61033081,0.56977589,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,8.08896105
13, 62.86884460,2.72845860,2.72845860,0.00000000,29.16802396,240.62404631,45.47129479,1.25012594,0.15778041,0.04816434,0.02105300,0.00000000,0.25000000,0.18657168,5.74422388,7.08961170,0.00000000,0.00000000,9.18363957,0.05111277,1.01507976,91.55463497,0.00000000,0.00000000,0.00000000,0.00000000,0.79878435,0.31834374,0.62403078,0.79294239,0.91563602,0.79878435,0.31834374,0.62403078,0.79294239,0.91563602,-23.07908082,-46.13640490,0.56691967,0.45690030,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,8.60116790
14, 62.65942871,2.70968246,2.70968246,0.00000000,29.19302333,238.58054749,44.92719519,1.24489744,0.15846691,0.04902246,0.02105300,0.00000000,0.25000000,0.18657168,5.70469448,7.11303009,0.00000000,0.00000000,9.18363957,0.04957700,1.01507976,91.36742276,0.00000000,0.00000000,0.00000000,0.00000000,0.80017347,0.31680445,0.62307843,0.79237828,0.91543860,0.80017347,0.31680445,0.62307843,0.79237828,0.91543860,-23.20477587,-46.37242279,0.54434284,0.31041017,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,9.08251216
15, 62.46603403,2.69208283,2.69208283,0.00000000,29.21712875,236.70484880,44.41432777,1.24003136,0.15910405,0.04985676,0.02105300,0.00000000,0.25000000,0.18657168,5.66764197,7.13502672,0.00000000,0.00000000,9.18363957,0.04816070,1.01507976,91.12167651,0.00000000,0.00000000,0.00000000,0.00000000,0.80150298,0.31526185,0.62210639,0.79187053,0.91524253,0.80150298,0.31526185,0.62210639,0.79187053,0.91524253,-23.32351769,-46.59456252,0.53249149,0.21780966,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,9.53403922
