t,Y,A,A_rep,A_hid,L,Q,K,W,P,r,taua,abar,tauk,taul,WtaxRev,KtaxRev,WtaxRev_lost,KtaxRev_lost,G,lump_sum,ylbar,WtaxPct,ShelterPct,ShelterPctP99,TaxEvasionP99,ConcealPctP99,gini,p90,p99,p999,p9999,gini_total,p90_total,p99_total,p999_total,p9999_total,welfare,welfare0,approval,approval0,conceal_share_e,conceal_share_n,evasion_share_e,evasion_share_n,conceal_frac_e,conceal_frac_n,evasion_frac_e,evasion_frac_n,shelter_pct_e,shelter_pct_n,detection_rate,detection_revenue,wtax_evasion_elast
 0, 73.75027952,3.12301613,3.00462440,0.11839173,30.15533636,333.66237040,65.76788613,1.41843557,0.13790925,0.02961390,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,5.97225881,0.00000000,0.53566605,9.29156816,0.00000000,1.08952447,0.00000000,0.09973883,30.78440975,7.67098879,33.64388173,0.77732954,0.34203793,0.64029141,0.80055179,0.91648046,0.78573419,0.32907147,0.61606267,0.77452644,0.90255333,-23.72530022,-47.57814777,0.00000000,0.00000000,0.31202435,0.68797565,0.91887093,0.08112907,0.03625730,0.03870940,0.05882632,0.00304520,0.38376144,0.03116382,0.68049595,0.03703996,-nan
 1, 73.61950935,3.12856354,3.00996151,0.11860203,30.06354912,333.66874455,65.76576259,1.42025641,0.13766387,0.02947617,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,6.68984770,0.00000000,2.27521121,9.29156816,0.01023270,1.08952447,0.00000000,0.09973883,30.78449811,37.94072327,33.64388173,0.77732954,0.34203793,0.64029141,0.80055179,0.91648046,0.78573419,0.32907147,0.61606267,0.77452644,0.90255333,-23.64533460,-48.03279249,0.44029881,0.15760417,0.31202435,0.68797565,0.93090837,0.06909163,0.03625730,0.03870940,0.20631046,0.01056625,0.38376144,0.03116382,0.68049595,0.04310447,-nan
 2, 73.17090059,3.13610002,2.95193427,0.18416575,30.01089604,327.35167090,67.23722849,1.41407242,0.13919850,0.02726285,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,7.15808959,0.00000000,1.73222001,9.29156816,0.01808213,1.08952447,0.00000000,0.26591272,69.33589808,18.60286214,34.87341026,0.77300057,0.34907792,0.65317801,0.81275078,0.92103856,0.78623295,0.32857851,0.61554674,0.77415393,0.90245401,-23.71122351,-48.17130240,0.41682794,0.14318635,0.40916696,0.59083304,0.93878923,0.06121077,0.07371461,0.05147530,0.15685529,0.00720539,1.08709483,0.06764481,0.80366110,0.26635323,-inf
 3, 72.88611018,3.13438685,2.93737494,0.19701191,29.99482279,323.85276435,67.39109531,1.40932427,0.14000437,0.02678649,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,6.97597630,0.00000000,1.91318040,9.29156816,0.01262865,1.08952447,0.00000000,0.22571104,47.46140984,31.80167955,41.02564953,0.77103965,0.35143429,0.65735959,0.81485174,0.92108808,0.78532482,0.32934489,0.61651341,0.77529593,0.90346737,-23.78777932,-48.34700946,0.36093243,0.01326789,0.40479282,0.59520718,0.94654239,0.05345761,0.07828583,0.05542520,0.17403819,0.00696779,0.91507696,0.05926911,0.71893516,0.14651554,-inf
 4, 72.69641448,3.12647050,2.91762191,0.20884859,29.99190237,321.61773310,67.26226361,1.40579035,0.14051259,0.02673308,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,7.21872743,0.00000000,1.66971954,9.29156816,0.01592691,1.08952447,0.00000000,0.23649315,56.62783938,22.75531594,40.39134505,0.77021734,0.35280729,0.66022933,0.81820178,0.92406736,0.78545704,0.32923972,0.61672010,0.77539616,0.90321555,-23.85761219,-48.49078770,0.34062371,0.01090701,0.39252649,0.60747351,0.94268010,0.05731990,0.08071614,0.06010432,0.15104343,0.00652845,0.95830578,0.06221722,0.75193549,0.20446409,-inf
 5, 72.55847706,3.11647951,2.91288665,0.20359285,30.00207900,320.26123594,66.68084305,1.40265278,0.14078113,0.02725563,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,7.02110770,0.00000000,1.88875987,9.29156816,0.01172834,1.08952447,0.00000000,0.20703898,50.80774045,29.24814749,45.35117192,0.76987583,0.35295216,0.66025625,0.82093416,0.92457157,0.78481598,0.32989456,0.61773202,0.77592115,0.90377656,-23.93023563,-48.65094718,0.32015434,0.01045266,0.34612759,0.65387241,0.95471091,0.04528909,0.06975300,0.06320526,0.17316395,0.00582662,0.81991652,0.05906456,0.75096879,0.15091211,-inf
 6, 72.37251854,3.11062014,2.89966889,0.21095125,30.00064118,317.99057794,66.62953783,1.39912578,0.14132249,0.02711701,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,7.09444342,0.00000000,1.81742232,9.29156816,0.01241376,1.08952447,0.00000000,0.22834983,54.75999820,24.76627581,43.57420241,0.76948141,0.35361897,0.66198924,0.82201599,0.92557361,0.78501471,0.32963778,0.61769393,0.77591542,0.90357836,-23.99672466,-48.78733203,0.30732470,0.01042149,0.35872983,0.64127017,0.95508608,0.04491392,0.07505699,0.06434418,0.16645117,0.00556610,0.93249818,0.05833880,0.77367004,0.18888952,-inf
 7, 72.18371847,3.10537460,2.88597059,0.21940401,29.99824806,315.76996422,66.52017796,1.39559119,0.14184612,0.02704256,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,7.07619794,0.00000000,1.83892735,9.29156816,0.01090257,1.08952447,0.00000000,0.23132769,52.53081087,27.67620763,45.91400281,0.76879449,0.35466357,0.66413719,0.82315640,0.92540348,0.78502149,0.32960553,0.61785422,0.77617422,0.90385637,-24.06259779,-48.92498501,0.29507870,0.00996620,0.36841358,0.63158642,0.95581587,0.04418413,0.08030770,0.06602301,0.16832743,0.00554501,0.93889867,0.06049029,0.73293613,0.16206225,-inf
 8, 72.02696057,3.09828298,2.87212952,0.22615346,29.99738386,314.03547358,66.29620826,1.39259575,0.14224083,0.02713461,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,7.20298562,0.00000000,1.71624063,9.29156816,0.01216028,1.08952447,0.00000000,0.23119756,54.65664745,26.17558974,45.98563500,0.76845925,0.35531870,0.66583580,0.82452251,0.92647185,0.78524715,0.32938286,0.61791196,0.77621909,0.90377919,-24.12530179,-49.05157263,0.28548799,0.00966325,0.37001709,0.62998291,0.95352893,0.04647107,0.08328078,0.06805544,0.15662571,0.00544411,0.93977936,0.06011610,0.73969394,0.17571048,-inf
 9, 71.92437863,3.08858527,2.86678781,0.22179746,30.00862063,313.07526318,65.77391460,1.39010601,0.14243199,0.02763733,0.00000000,0.00000000,0.34473700,0.18590421,0.00000000,7.09345891,0.00000000,1.84325363,9.29156816,0.00993572,1.08952447,0.00000000,0.21360273,52.96220781,27.14642512,48.51917072,0.76855871,0.35500280,0.66555499,0.82657525,0.92729056,0.78507675,0.32950934,0.61844783,0.77631578,0.90387416,-24.18860635,-49.18387414,0.27711473,0.00940976,0.34366695,0.65633305,0.95615121,0.04384879,0.07613649,0.06973791,0.16885021,0.00550946,0.85691128,0.05828099,0.74579830,0.16720826,-inf
