t,Y,A,A_rep,A_hid,L,Q,K,W,P,r,taua,abar,tauk,taul,WtaxRev,KtaxRev,WtaxRev_lost,KtaxRev_lost,G,lump_sum,ylbar,WtaxPct,ShelterPct,ShelterPctP99,TaxEvasionP99,ConcealPctP99,gini,p90,p99,p999,p9999,gini_total,p90_total,p99_total,p999_total,p9999_total,welfare,welfare0,approval,approval0,conceal_share_e,conceal_share_n,evasion_share_e,evasion_share_n,conceal_frac_e,conceal_frac_n,evasion_frac_e,evasion_frac_n,shelter_pct_e,shelter_pct_n,detection_rate,detection_revenue,wtax_evasion_elast
 0, 73.75027952,3.12301613,3.00462440,0.11839173,30.15533636,333.66237040,65.76788613,1.41843557,0.13790925,0.02961390,0.02000000,437.08231376,0.25000000,0.18606599,0.00000000,5.97225881,0.00000000,0.53566605,9.29156816,0.00000000,1.08952447,0.00000000,0.09973883,30.78440975,7.67098879,33.64388173,0.77732954,0.34203793,0.64029141,0.80055179,0.91648046,0.78573419,0.32907147,0.61606267,0.77452644,0.90255333,-23.72530022,-47.57814777,0.00000000,0.00000000,0.31202435,0.68797565,0.91887093,0.08112907,0.03625730,0.03870940,0.05882632,0.00304520,0.38376144,0.03116382,0.68049595,0.03703996,-0.00000000
 1, 73.70967465,3.12473653,3.00627958,0.11845695,30.12674570,333.68912421,65.77091065,1.41904140,0.13782776,0.02956894,0.02000000,437.08231376,0.25000000,0.18606599,0.69847829,5.56792283,0.19608281,0.93760756,9.29156816,0.00416398,1.08952447,0.04870473,0.09973883,30.78440975,22.05870402,33.64388173,0.77732954,0.34203793,0.64029141,0.80055179,0.91648046,0.78573419,0.32907147,0.61606267,0.77452644,0.90255333,-23.61956332,-47.46100102,0.69586625,0.48696306,0.31202435,0.68797565,0.74868945,0.25131055,0.03625730,0.03870940,0.09673833,0.01929336,0.38376144,0.03116382,0.68049595,0.04214243,-0.00000000
 2, 73.54598930,3.12442120,2.94098312,0.18343808,30.10002812,331.73086620,66.09373935,1.41714966,0.13825239,0.02900462,0.02000000,437.08231376,0.25000000,0.18606599,0.56163561,5.83414592,0.31466021,0.62323977,9.29156816,0.00766850,1.08952447,0.04360947,0.10825226,72.42014008,10.53976285,36.16958576,0.77156521,0.35087174,0.65636472,0.82055565,0.92725403,0.78493486,0.33027169,0.61787127,0.77668620,0.90391832,-23.63274092,-47.49471556,0.61644018,0.35301178,0.28477014,0.71522986,0.65859030,0.34140970,0.05116599,0.06237314,0.07026656,0.02179705,0.40922857,0.03558391,1.11115557,0.20756120,10.98799811
 3, 73.44719823,3.12450902,2.91478124,0.20972778,30.08768189,330.60853932,66.16201894,1.41582221,0.13848799,0.02881682,0.02000000,437.08231376,0.25000000,0.18606599,0.50173883,5.84084571,0.35794984,0.60093473,9.29156816,0.00502871,1.08952447,0.04144185,0.10734585,69.79997810,11.89740257,43.25834180,0.76829770,0.35524372,0.66411601,0.82991236,0.93365507,0.78380593,0.33139854,0.61958887,0.77868621,0.90538187,-23.65169511,-47.54713946,0.56162454,0.23071668,0.27071620,0.72928380,0.64706782,0.35293218,0.05562768,0.07270044,0.07056907,0.02309002,0.40527600,0.03541298,0.72908988,0.10185807,16.17069251
 4, 73.39897976,3.12293629,2.89673820,0.22619809,30.08499490,330.02311976,66.17665252,1.41502196,0.13861829,0.02874782,0.02000000,437.08231376,0.25000000,0.18606599,0.45955407,5.84307814,0.38903964,0.58897025,9.29156816,0.00419206,1.08952447,0.04007513,0.10536357,74.60186135,11.76698456,46.91818475,0.76641657,0.35794850,0.66898854,0.83636458,0.93827470,0.78329145,0.33202185,0.62058657,0.77992314,0.90626837,-23.66733813,-47.58315026,0.52920840,0.21246991,0.26481724,0.73518276,0.64301722,0.35698278,0.05870352,0.07909354,0.07154104,0.02385519,0.39256570,0.03602089,0.72936987,0.09871403,20.40693266
 5, 73.35117905,3.12201955,2.88288033,0.23913922,30.08133488,329.43576634,66.21378600,1.41427133,0.13875015,0.02865233,0.02000000,437.08231376,0.25000000,0.18606599,0.42885174,5.85129266,0.41088627,0.57328124,9.29156816,0.00345618,1.08952447,0.03867929,0.10801787,75.67092297,12.06918742,50.15905295,0.76501756,0.36002965,0.67277151,0.84111983,0.94142226,0.78297115,0.33245225,0.62129227,0.78091624,0.90700003,-23.68145854,-47.61354507,0.47047030,0.18786090,0.26609014,0.73390986,0.63858942,0.36141058,0.06235802,0.08351175,0.07150253,0.02433073,0.40458082,0.03641510,0.70097455,0.08402206,23.72144057
 6, 73.31570144,3.12081277,2.87138993,0.24942284,30.08033600,328.98997457,66.22333006,1.41363716,0.13885246,0.02860313,0.02000000,437.08231376,0.25000000,0.18606599,0.40474883,5.85597410,0.42766976,0.56299676,9.29156816,0.00297408,1.08952447,0.03759630,0.10801390,75.91544271,12.20212247,52.79195016,0.76399416,0.36164961,0.67574289,0.84492280,0.94408215,0.78280975,0.33274571,0.62179153,0.78171639,0.90761148,-23.69427179,-47.63884243,0.42060738,0.08474386,0.26809478,0.73190522,0.63562350,0.36437650,0.06552335,0.08691898,0.07165614,0.02471357,0.40249626,0.03691347,0.68781718,0.08123557,26.51938229
 7, 73.28758341,3.11949717,2.86267770,0.25681947,30.07920402,328.67322503,66.19904735,1.41314748,0.13891952,0.02860177,0.02000000,437.08231376,0.25000000,0.18606599,0.38636698,5.85629397,0.43976662,0.55906908,9.29156816,0.00255535,1.08952447,0.03657289,0.10822597,76.00285797,12.35295795,54.75032788,0.76329635,0.36263763,0.67792561,0.84792920,0.94616146,0.78273663,0.33278269,0.62216883,0.78238782,0.90817863,-23.70591583,-47.66063529,0.39683339,0.04314560,0.26945451,0.73054549,0.63402423,0.36597577,0.06780378,0.08938939,0.07208964,0.02504126,0.40290665,0.03707765,0.67756293,0.07936701,28.75890447
 8, 73.26696877,3.11801049,2.85550958,0.26250090,30.08008527,328.43379122,66.16063538,1.41271226,0.13897195,0.02862550,0.02000000,437.08231376,0.25000000,0.18606599,0.37233292,5.84800921,0.44812471,0.56492539,9.29156816,0.00212785,1.08952447,0.03560758,0.10903411,74.99475537,12.75660334,56.26422322,0.76280520,0.36345245,0.67962374,0.85030135,0.94766666,0.78272659,0.33285390,0.62246154,0.78298287,0.90871199,-23.71641989,-47.67944472,0.38109884,0.03525300,0.27046253,0.72953747,0.63606511,0.36393489,0.06956300,0.09130550,0.07338209,0.02526703,0.40537152,0.03748579,0.67017202,0.07919159,30.52855977
 9, 73.24595749,3.11682166,2.84884372,0.26797795,30.07988284,328.18379447,66.14421979,1.41231623,0.13902728,0.02862242,0.02000000,437.08231376,0.25000000,0.18606599,0.36041928,5.85022587,0.45511114,0.56022015,9.29156816,0.00189733,1.08952447,0.03478295,0.10993074,75.61288350,12.90776299,56.90601052,0.76240264,0.36405787,0.68116151,0.85234450,0.94886389,0.78278208,0.33275692,0.62265191,0.78347744,0.90923576,-23.72575216,-47.69511698,0.36852814,0.03440306,0.27371634,0.72628366,0.63466470,0.36533530,0.07185765,0.09285446,0.07340487,0.02543234,0.40866411,0.03780394,0.67326903,0.08005805,32.08262133
10, 73.23190568,3.11541626,2.84334834,0.27206791,30.08104668,328.02782738,66.10014488,1.41199191,0.13906024,0.02865984,0.02000000,437.08231376,0.25000000,0.18606599,0.35047778,5.84555224,0.46051982,0.56344870,9.29156816,0.00162126,1.08952447,0.03400611,0.11013570,75.90413238,13.15761454,57.45584663,0.76214054,0.36455349,0.68231659,0.85414271,0.94990161,0.78286361,0.33271720,0.62278574,0.78391760,0.90972728,-23.73426080,-47.70875544,0.35919623,0.03365232,0.27530582,0.72469418,0.63628337,0.36371663,0.07337437,0.09413072,0.07424711,0.02554205,0.40857958,0.03807879,0.66673265,0.08034327,33.40914223
11, 73.22002379,3.11408699,2.83835141,0.27573558,30.08249509,327.88864336,66.06075604,1.41169461,0.13909076,0.02869395,0.02000000,437.08231376,0.25000000,0.18606599,0.34207831,5.84302851,0.46481463,0.56473160,9.29156816,0.00141223,1.08952447,0.03323844,0.11061409,76.45599480,13.26916040,57.84279552,0.76194873,0.36486066,0.68332413,0.85571503,0.95084010,0.78297726,0.33255422,0.62287540,0.78431385,0.91020557,-23.74185236,-47.72035905,0.35188792,0.03262164,0.27717903,0.72282097,0.63739408,0.36260592,0.07486540,0.09521603,0.07480822,0.02560929,0.40975907,0.03838791,0.66932050,0.08130648,34.55307164
12, 73.20959526,3.11289154,2.83381755,0.27907399,30.08369865,327.76689839,66.02759870,1.41143758,0.13911749,0.02872229,0.02000000,437.08231376,0.25000000,0.18606599,0.33487376,5.84589667,0.46829704,0.56072981,9.29156816,0.00129939,1.08952447,0.03260109,0.11100449,77.08121501,13.28953239,58.16653909,0.76180718,0.36519596,0.68420035,0.85711061,0.95167689,0.78311124,0.33245576,0.62291667,0.78469974,0.91065587,-23.74856984,-47.73009086,0.34306939,0.02892249,0.27945465,0.72054535,0.63669839,0.36330161,0.07638759,0.09612422,0.07471068,0.02565142,0.41070085,0.03864518,0.66925126,0.08184953,35.55108941
