t,Y,A,A_rep,A_hid,L,Q,K,W,P,r,taua,abar,tauk,taul,WtaxRev,KtaxRev,WtaxRev_lost,KtaxRev_lost,G,lump_sum,ylbar,WtaxPct,ShelterPct,ShelterPctP99,TaxEvasionP99,ConcealPctP99,gini,p90,p99,p999,p9999,gini_total,p90_total,p99_total,p999_total,p9999_total,welfare,welfare0,approval,approval0,conceal_share_e,conceal_share_n,evasion_share_e,evasion_share_n,conceal_frac_e,conceal_frac_n,evasion_frac_e,evasion_frac_n,shelter_pct_e,shelter_pct_n,detection_rate,detection_revenue,wtax_evasion_elast
 0, 68.70875404,2.99793781,2.99793781,0.00000000,30.10276565,281.61833972,56.65823809,1.32381454,0.14967032,0.03609944,0.02000000,367.96823485,0.25000000,0.18601230,0.00000000,6.75288192,0.00000000,0.00000000,9.18363957,0.00000000,1.01507976,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,-23.88709353,-46.86196153,0.00000000,0.00000000,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-0.00000000
 1, 68.56089485,3.00440320,3.00440320,0.00000000,29.99115277,281.61818313,56.65860380,1.32588113,0.14934832,0.03591361,0.02000000,367.96823485,0.25000000,0.18601230,0.70989139,6.74485854,0.00000000,0.00000000,9.18363957,0.00905267,1.01507976,0.05496349,0.00000000,0.00000000,0.00000000,0.00000000,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,0.77950949,0.33764289,0.63573828,0.80001667,0.91848469,-23.38958341,-46.00518618,0.99898555,0.99962845,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,-0.00000000
 2, 68.49311341,3.00304602,3.00304602,0.00000000,29.98204560,280.95931301,56.66207340,1.32497234,0.14951551,0.03582341,0.02000000,367.96823485,0.25000000,0.18601230,0.69757630,6.74657606,0.00000000,0.00000000,9.18363957,0.00860272,1.01507976,0.05475050,0.00000000,0.00000000,0.00000000,0.00000000,0.77874951,0.33858757,0.63714834,0.80162518,0.91939780,0.77874951,0.33858757,0.63714834,0.80162518,0.91939780,-23.40686144,-46.04921104,0.99912090,0.99962976,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,0.80907294
 3, 68.43426026,3.00121999,3.00121999,0.00000000,29.97565192,280.40187770,56.62618571,1.32411350,0.14965397,0.03580382,0.02000000,367.96823485,0.25000000,0.18601230,0.68591883,6.74890252,0.00000000,0.00000000,9.18363957,0.00820169,1.01507976,0.05452547,0.00000000,0.00000000,0.00000000,0.00000000,0.77810297,0.33943109,0.63844079,0.80313151,0.92024622,0.77810297,0.33943109,0.63844079,0.80313151,0.92024622,-23.42353829,-46.09006267,0.99919863,0.99962976,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,1.58836546
 4, 68.38344275,2.99909125,2.99909125,0.00000000,29.97184087,279.92504397,56.56816811,1.32330145,0.14977243,0.03582824,0.02000000,367.96823485,0.25000000,0.18601230,0.67489364,6.75151097,0.00000000,0.00000000,9.18363957,0.00784523,1.01507976,0.05429708,0.00000000,0.00000000,0.00000000,0.00000000,0.77754087,0.34018499,0.63963409,0.80455176,0.92110076,0.77754087,0.34018499,0.63963409,0.80455176,0.92110076,-23.43947293,-46.12791895,0.99926016,0.99962999,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,2.33788124
 5, 68.33722169,2.99692176,2.99692176,0.00000000,29.96829399,279.51143231,56.49744279,1.32256678,0.14987091,0.03587782,0.02000000,367.96823485,0.25000000,0.18601230,0.66450907,6.75417916,0.00000000,0.00000000,9.18363957,0.00751799,1.01507976,0.05407142,0.00000000,0.00000000,0.00000000,0.00000000,0.77704943,0.34087325,0.64076566,0.80590197,0.92188617,0.77704943,0.34087325,0.64076566,0.80590197,0.92188617,-23.45465940,-46.16297225,0.99931765,0.99963090,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,3.05733070
 6, 68.29559257,2.99471250,2.99471250,0.00000000,29.96564111,279.14258376,56.41892152,1.32187617,0.14995748,0.03594482,0.02000000,367.96823485,0.25000000,0.18601230,0.65473841,6.75697101,0.00000000,0.00000000,9.18363957,0.00721980,1.01507976,0.05384660,0.00000000,0.00000000,0.00000000,0.00000000,0.77661512,0.34149232,0.64180486,0.80717679,0.92263126,0.77661512,0.34149232,0.64180486,0.80717679,0.92263126,-23.46905696,-46.19551069,0.99934744,0.99963090,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,3.74637101
 7, 68.25736774,2.99255749,2.99255749,0.00000000,29.96310593,278.81646164,56.33912906,1.32125105,0.15003166,0.03601857,0.02000000,367.96823485,0.25000000,0.18601230,0.64555675,6.75960720,0.00000000,0.00000000,9.18363957,0.00694449,1.01507976,0.05362233,0.00000000,0.00000000,0.00000000,0.00000000,0.77622859,0.34206241,0.64279134,0.80838258,0.92332381,0.77622859,0.34206241,0.64279134,0.80838258,0.92332381,-23.48263423,-46.22565362,0.99936825,0.99965357,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,4.40553283
 8, 68.22262087,2.99043500,2.99043500,0.00000000,29.96118513,278.52221685,56.25864171,1.32066563,0.15009816,0.03609796,0.02000000,367.96823485,0.25000000,0.18601230,0.63693814,6.76221667,0.00000000,0.00000000,9.18363957,0.00669106,1.01507976,0.05340384,0.00000000,0.00000000,0.00000000,0.00000000,0.77588589,0.34255992,0.64371568,0.80952702,0.92398052,0.77588589,0.34255992,0.64371568,0.80952702,0.92398052,-23.49542864,-46.25371092,0.99938212,0.99965598,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,5.03458280
 9, 68.19071599,2.98838040,2.98838040,0.00000000,29.95955385,278.25566740,56.17851966,1.32012092,0.15015743,0.03618050,0.02000000,367.96823485,0.25000000,0.18601230,0.62885342,6.76477309,0.00000000,0.00000000,9.18363957,0.00645871,1.01507976,0.05318632,0.00000000,0.00000000,0.00000000,0.00000000,0.77557788,0.34306436,0.64455524,0.81060513,0.92460258,0.77557788,0.34306436,0.64455524,0.81060513,0.92460258,-23.50745307,-46.27977841,0.99939384,0.99966617,-nan,-nan,-nan,-nan,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,nan,0.00000000,5.63420782
